"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Oklahoma,143.683032,144.6829008,146.0094227,148.4090821,147.1801449,148.2433696,151.0759912,150.964435,149.1049305,146.6016276,149.1762605,150.6869582,150.9582921,152.7790059,151.9352082,157.1052909,158.5192561,160.6695539,163.2228009,156.355983,155.9580468,157.3437845,151.9479883,153.7346239,154.640642,151.7286542,147.0638303,146.491959,152.3386058,143.115895,131.0673874,133.4829924
Minnesota,110.5914332,110.0303507,110.0613645,116.1823911,117.3234803,121.0852079,125.3973301,124.284548,125.6110545,125.5483664,130.6101398,126.6913964,129.9995357,135.0200597,134.577982,134.6294615,130.8970531,133.5447085,133.0257665,124.2941196,139.9626318,138.6168677,134.5664854,139.3170239,147.2996268,133.7481387,135.1601706,135.3100301,142.0750628,137.2071083,122.0587619,126.8509595
Wisconsin,117.4696472,120.1296432,118.9704696,121.8770667,124.7249808,128.4421631,132.7987109,135.3339878,134.1761861,137.6591296,139.0658104,137.5173715,138.903367,137.8470646,139.4049255,142.8127416,135.7685415,138.2985658,137.0035621,127.6202714,129.579954,128.3080921,121.1608905,132.0024622,132.1478132,131.0785873,126.8019661,129.892723,132.8550856,125.0458229,116.8325676,122.508735
Colorado,100.4807033,102.0719692,105.2760628,107.3716471,109.1525566,109.123444,111.6043321,114.5276537,117.0517714,119.7002126,124.2187455,132.732974,131.4297118,130.982915,133.4620674,138.6303771,140.3373933,144.7655874,142.8823526,136.9285424,140.7733139,135.6682878,132.8766466,131.1270727,131.743678,129.195819,127.8953409,129.1304075,129.5056352,131.8534105,118.4071988,122.4961728
Virginia,135.9059232,135.1449126,136.4122836,136.2139303,133.6856544,133.6106068,139.1656316,140.5096583,141.5183721,143.155212,150.1117936,147.4092245,145.2696033,151.2502275,152.8649022,152.8470419,146.0994774,151.1564462,140.4481041,128.4586773,133.2529398,123.2393083,118.6406356,127.1442241,127.5951963,128.32373,130.7166374,125.5077282,130.2133779,125.028841,120.1176249,120.126862
West Virginia,144.9904922,137.3990543,140.3058796,133.0789305,139.9685681,138.2857603,145.0542751,147.650461,150.2979751,153.7418511,146.2553719,137.8956289,148.202158,143.4406344,141.561873,143.9631753,143.9632753,145.0418055,145.1892247,125.7527805,135.7500602,130.464758,123.730062,127.9037696,136.4449715,128.3343546,126.7861028,127.0912803,124.0731672,118.4305251,108.0191107,117.6945562
Iowa,105.689989,107.2817851,102.8346516,105.7932904,108.453277,111.6984766,114.0688843,112.5666648,118.2470375,121.1843925,120.056434,119.0140603,122.0895396,119.7035991,120.8666051,121.6466059,125.3040642,131.7743024,135.0964883,127.9189862,134.3852685,132.5587709,126.5009932,128.6452403,131.3397592,124.5885631,119.2285176,121.6057711,131.0530146,122.0503175,109.2847272,117.4045181
Tennessee,127.7332648,123.1082712,129.3685404,139.5433728,135.5939439,142.2230906,143.1043812,146.0443054,145.4721057,145.9772302,151.185655,148.8435016,146.8049448,145.644572,147.2598616,148.9468039,151.4975708,150.8742939,144.8316523,122.5719895,127.2433426,123.1979124,116.5045816,114.4254406,120.3910785,115.7146132,118.7125946,114.9697836,111.1620998,110.3087693,101.9241098,111.4324522
Kansas,118.8607402,116.9119306,116.9364507,125.8306062,124.4173925,123.3278462,129.2456405,126.4783612,125.8800104,126.5397206,128.9604485,127.3310546,127.3551349,130.1719966,128.2869322,126.1037849,123.8452901,132.4354348,129.0483532,121.7989251,125.1641491,120.3029033,116.0117294,123.4365679,121.699146,116.8898695,114.8027485,112.0174924,112.7637901,112.4178177,107.6914548,109.0129063
Arizona,80.50856408,80.47892713,84.12774937,86.78691477,89.77311256,85.19715634,87.03344358,92.03204422,95.86467598,100.0712648,105.2215381,107.0583893,106.7280314,109.0069939,116.2129786,117.1265571,120.1378669,122.0498739,122.3224441,112.1675377,116.7799315,113.0163793,111.7671778,114.4845178,113.7644906,112.0141006,107.0282009,106.3206436,111.3801003,109.5526695,97.01835931,100.0011839
New Jersey,114.8898406,112.552463,119.4182668,117.3803174,127.7388472,126.2719753,129.4789033,129.7655985,124.5930723,129.3907438,128.5808616,125.0170376,123.980568,126.5507048,129.4758721,131.6145364,126.71803,133.0646163,126.4831362,116.5547186,112.5787688,110.8525998,105.617524,107.2272201,113.5515445,111.3116888,113.2598766,106.0865734,110.3608886,108.0179192,90.78569162,95.97725049
North Dakota,62.25283892,63.3336681,65.97256481,67.84501089,68.40749222,68.27012099,68.7388055,67.03555337,68.54705148,69.14300585,69.0686267,70.18905305,68.00612625,70.26059092,68.3444086,71.31307271,68.76385994,73.85831628,72.24442217,71.81865373,75.63510806,77.70359575,81.34552238,88.79594184,93.34671629,91.92821915,84.79147152,85.65887286,97.39079578,100.9687898,86.49781917,88.38897957
Arkansas,78.77242701,78.41689077,79.24346573,79.27820869,83.83441865,86.71447584,90.27523817,87.83067931,90.16886199,91.48203619,92.3922585,89.78065766,88.4622154,89.05878742,90.46755509,90.19569249,91.66126734,93.72704079,93.52703915,92.7876178,100.8868619,100.2057239,98.81894376,97.56764255,99.86513937,89.09948457,90.94476807,92.99010446,99.72052183,92.64896099,81.24794906,88.01264244
Washington,89.75376046,88.12547169,95.62715593,94.2350263,98.66815807,96.18289284,101.4666948,96.91311743,102.6274351,105.0130526,103.2998454,94.50756752,89.49578388,90.62666575,91.92665991,93.3547311,90.29410676,94.75583991,92.06838215,89.29435399,86.01727193,80.3250319,78.39786569,85.54329834,84.90587805,84.61431683,85.73947055,88.02550979,88.51605411,94.50319245,81.70687039,86.13396231
Nebraska,65.70936488,68.11785758,67.2661379,72.2442643,72.40752102,73.83816709,75.45354416,76.83213202,79.21371798,77.39700786,77.11806131,80.97865117,79.8532241,80.55573964,81.14816622,81.71324977,82.94400475,85.07176577,85.19718544,85.25479012,86.2498972,90.67033426,86.43070456,91.86010225,90.09265627,89.30314916,87.7024185,87.34014188,92.98379316,90.37052356,83.62010797,85.39246108
Wyoming,79.34616977,78.3252294,84.52652445,82.05906071,85.16718514,83.18592622,84.91013706,86.09975517,92.16193023,91.5404401,95.28076243,98.23552341,96.84815138,98.11121346,100.6638371,100.6769811,103.4949891,106.9074419,108.6403715,103.7161813,104.581012,104.4532468,102.7143145,105.1642529,100.3563458,97.45778768,91.46245187,92.43122206,93.82408079,87.31830281,84.95510244,83.72742621
South Carolina,72.98152123,72.27816855,72.77765533,77.38542542,79.85013095,78.42724781,82.55985038,84.46449551,88.48783044,92.28626827,95.43275527,93.2149409,94.3071116,95.58675791,102.0599859,101.1411889,102.1405589,102.1967238,99.90966098,93.68408047,96.01656728,91.74350288,86.21628419,81.5734329,86.10829625,84.9355032,84.02458347,81.35344473,85.74950151,82.039519,75.58523588,82.11888875
