"U.S. Emissions, Agricultural Activities, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Agricultural soil management",288.778816,277.7631922,274.9626825,291.9839633,288.680852,287.5054708,296.8757009,284.9975302,291.0600376,288.0538311,278.6118025,295.1413671,295.3388764,296.1922236,303.9771917,294.0911056,293.3942662,303.2984141,300.217346,299.2142692,302.7361871,301.3839074,282.7799612,324.5548953,330.1346625,321.6201757,307.3994981,313.9738923,333.4429819,315.6154115,292.1251137,297.9797214,290.8016111
"Enteric fermentation",183.0837246,183.3497887,188.6777993,191.3779091,194.8186474,199.1880986,197.9873403,194.1414599,192.0233786,192.2012941,190.2018421,189.0494598,189.3782443,189.51641,185.9790184,188.2083691,191.3286204,194.5157303,193.779489,192.7593044,190.8344592,188.3489278,185.9184018,184.6686559,182.5372197,185.8923323,191.8791472,195.9348469,196.7826509,197.2628028,196.2920057,196.4759291,192.5776679
"Manure management",52.51024106,54.50394091,52.9611837,54.68966976,58.285112070000004,60.05147898,59.11596867,61.363284449999995,65.35252068,65.89078506999999,66.51463987,68.00336488,69.19234203,69.54486631,67.14192921,70.22492153,70.89186421,75.90976601,73.68849492,72.33659692,74.43536673,75.12071859,77.36690454,74.70698319,74.17490423,78.53551195,81.12353608999999,82.00965037,84.29102651000001,83.45226248,83.80753955,83.58588985,81.71816469999999
"Rice cultivation",18.94819119,19.54877289,19.01843946,19.14945702,18.14993726,19.12926989,19.72406054,17.85819586,20.43483029,19.00043133,22.43132034,19.01635212,21.46918246,17.90477965,17.64109089,20.59024904,17.95631144,18.45184697,16.43839396,19.55957742,21.50804924,19.3621,17.66931449,18.08455392,17.57433566,19.59140329,19.89893408,16.7273647,19.91212744,15.62576354,18.58152792,18.29757292,18.86729164
"Urea fertilization",2.416779099,2.312980606,2.448153133,2.636572275,2.682959264,2.656933929,2.587173409,2.691105371,2.946535699,3.01626461,3.213569236,3.41387024,3.572323812,3.684978231,3.653262176,3.504460395,3.655527605,3.757403776,3.612776148,3.555170426,3.777928546,4.097311416,4.28151417,4.443382543,4.512213544,4.679450363,4.720051991,4.816479861,4.936445405,5.03401606,5.131586716,5.229157372,5.32741803
"Liming",4.689516066,5.009266276,4.436028712,3.801404088,4.136788368,4.392083378,4.358844337,4.289018381,4.77941333,4.492915109,4.368493138,4.477779811,5.033577156,4.585766493,3.828392943,4.35118953,4.2195926,4.464100526,5.024858694,3.669116931,4.783613661,3.87302774,5.970009285,3.90705337,3.585562214,3.744612781,3.015197764,3.069018758,2.239669536,2.203398054,2.88707618,2.386642825,3.268002697
"Field burning of agricultural residues",0.71762138,0.6883423670000001,0.738012077,0.755959595,0.731863244,0.643388033,0.794947082,0.7741070349999999,0.741527661,0.7623758540000001,0.723607287,0.722293531,0.816634871,0.984081006,0.853329928,0.843075935,0.809689594,0.840927993,0.793312272,0.724555596,0.902891246,0.673700706,0.760768657,0.7886990620000001,0.842226416,0.779372899,0.8304860510000001,0.82739046,0.802425416,0.864549891,0.827677014,0.8278504280000001,0.822986782
"Total",551.144889395,543.176283949,543.2422988820001,564.3949351380002,567.486159606,573.56672361,581.4440352380001,566.1147011970002,577.33824386,573.417897173,566.065274471,579.8244874820001,584.801181029,582.41310529,583.0742152470001,581.8133711300001,582.2558720490001,601.2381896750002,593.554670994,591.818590893,598.978495723,592.859693652,574.7468741419999,611.1542232849998,613.3611242640001,614.842859283,608.866851276,617.3586433489999,642.4073271069999,620.058204325,599.65252678,604.7827638950001,593.383142849
