Month,Day,Year,beef_commercial,veal_commercial,pork_commercial,lamb_commercial,total_red_commercial,beef_federal,veal_federal,pork_federal,lamb_federal,total_red_federal,broilers_federal,chicken_federal,turkey_federal,total_poultry_federal,total_meat_federal
4,1,1960,1066,75,910,59,2110,NULL,NULL,NULL,NULL,NULL,301.6,NULL,16.2,335.4,NULL
3,1,1960,1201,83,981,61,2326,NULL,NULL,NULL,NULL,NULL,283.6,NULL,13.4,321.2,NULL
2,1,1960,1089,73,940,60,2162,NULL,NULL,NULL,NULL,NULL,250.9,NULL,14,293.6,NULL
1,1,1960,1196,79,1058,68,2401,NULL,NULL,NULL,NULL,NULL,255.9,NULL,22.1,306.6,NULL
12,1,1959,1160,80,1125,64,2429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,1959,1080,80,1028,57,2245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,1959,1186,92,1060,64,2402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,1959,1177,87,926,63,2253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,1959,1083,76,792,52,2003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,1959,1166,80,842,57,2145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,1959,1109,76,825,54,2064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,1959,1071,70,823,54,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,1959,1099,73,920,61,2153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,1959,1029,73,918,64,2084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,1959,946,67,907,60,1980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1,1959,1127,75,965,74,2241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,1958,1091,83,949,59,2182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,1958,978,81,858,48,1965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,1958,1220,103,932,59,2314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,1958,1148,94,822,55,2119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,1958,1079,92,718,50,1939,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,1958,1148,96,714,53,2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,1958,1078,91,710,55,1934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,1958,1062,90,734,62,1948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,1958,1023,90,806,65,1984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,1958,985,91,775,56,1907,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,1958,960,86,708,53,1807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,1,1958,1211,106,892,59,2268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,1957,1064,98,882,52,2096,826,59,742,47,1674,NULL,NULL,NULL,NULL,NULL
11,1,1957,1072,110,865,50,2097,831,65,730,44,1670,NULL,NULL,NULL,NULL,NULL
10,1,1957,1268,140,935,62,2405,978,88,788,55,1909,NULL,NULL,NULL,NULL,NULL
9,1,1957,1151,131,760,56,2098,881,79,640,50,1650,NULL,NULL,NULL,NULL,NULL
8,1,1957,1196,138,694,56,2084,925,85,579,50,1639,NULL,NULL,NULL,NULL,NULL
7,1,1957,1220,132,687,60,2099,940,80,578,53,1651,NULL,NULL,NULL,NULL,NULL
6,1,1957,1086,115,663,53,1917,835,69,559,47,1510,NULL,NULL,NULL,NULL,NULL
5,1,1957,1203,118,785,60,2166,927,72,657,53,1709,NULL,NULL,NULL,NULL,NULL
4,1,1957,1085,113,786,57,2041,838,68,661,51,1618,NULL,NULL,NULL,NULL,NULL
2,1,1957,1082,107,778,60,2027,839,64,650,54,1607,NULL,NULL,NULL,NULL,NULL
1,1,1957,1326,128,913,72,2439,1034,78,754,65,1931,NULL,NULL,NULL,NULL,NULL
12,1,1956,1143,111,894,56,2204,917,70,755,50,1792,NULL,NULL,NULL,NULL,NULL
11,1,1956,1201,141,1011,58,2411,950,92,862,52,1956,NULL,NULL,NULL,NULL,NULL
10,1,1956,1304,169,967,71,2511,1017,112,817,64,2010,NULL,NULL,NULL,NULL,NULL
9,1,1956,1105,141,767,57,2070,844,87,638,51,1620,NULL,NULL,NULL,NULL,NULL
8,1,1956,1202,151,721,62,2136,931,95,596,55,1677,NULL,NULL,NULL,NULL,NULL
7,1,1956,1198,133,690,57,2078,937,84,577,51,1649,NULL,NULL,NULL,NULL,NULL
6,1,1956,1172,124,711,52,2059,923,79,600,46,1648,NULL,NULL,NULL,NULL,NULL
5,1,1956,1194,122,777,54,2147,929,77,651,47,1704,NULL,NULL,NULL,NULL,NULL
4,1,1956,1122,113,812,60,2107,875,70,682,54,1681,NULL,NULL,NULL,NULL,NULL
3,1,1956,1131,113,954,66,2264,888,71,804,59,1822,NULL,NULL,NULL,NULL,NULL
2,1,1956,1087,108,923,64,2182,843,67,773,57,1740,NULL,NULL,NULL,NULL,NULL
1,1,1956,1231,115,1057,71,2474,964,71,883,64,1982,NULL,NULL,NULL,NULL,NULL
12,1,1955,1114,113,1145,61,2433,889,73,968,54,1984,NULL,NULL,NULL,NULL,NULL
11,1,1955,1136,129,1073,60,2398,888,82,908,53,1931,NULL,NULL,NULL,NULL,NULL
10,1,1955,1172,142,948,62,2324,910,90,806,55,1861,NULL,NULL,NULL,NULL,NULL
9,1,1955,1206,147,808,66,2227,930,91,679,59,1759,NULL,NULL,NULL,NULL,NULL
8,1,1955,1227,143,726,62,2158,946,87,605,54,1692,NULL,NULL,NULL,NULL,NULL
7,1,1955,1045,123,594,53,1815,806,73,495,47,1421,NULL,NULL,NULL,NULL,NULL
6,1,1955,1144,130,667,60,2001,874,79,550,53,1556,NULL,NULL,NULL,NULL,NULL
5,1,1955,1075,118,707,64,1964,830,71,587,58,1546,NULL,NULL,NULL,NULL,NULL
4,1,1955,1013,109,744,63,1929,779,65,618,57,1519,NULL,NULL,NULL,NULL,NULL
3,1,1955,1084,119,905,68,2176,823,68,750,61,1702,NULL,NULL,NULL,NULL,NULL
2,1,1955,924,100,771,59,1854,703,57,628,53,1441,NULL,NULL,NULL,NULL,NULL
1,1,1955,1073,114,939,66,2192,817,66,772,59,1714,NULL,NULL,NULL,NULL,NULL
12,1,1954,1074,123,1012,61,2270,839,74,844,55,1812,NULL,NULL,NULL,NULL,NULL
11,1,1954,1059,134,947,59,2199,820,82,799,52,1753,NULL,NULL,NULL,NULL,NULL
10,1,1954,1086,153,818,63,2120,830,95,682,56,1663,NULL,NULL,NULL,NULL,NULL
9,1,1954,1098,154,757,62,2071,825,93,622,55,1595,NULL,NULL,NULL,NULL,NULL
8,1,1954,1080,149,641,60,1930,830,90,527,53,1500,NULL,NULL,NULL,NULL,NULL
7,1,1954,1078,143,596,59,1876,834,87,491,52,1464,NULL,NULL,NULL,NULL,NULL
6,1,1954,1066,138,649,59,1912,822,84,538,52,1496,NULL,NULL,NULL,NULL,NULL
5,1,1954,1007,115,616,54,1792,770,68,505,48,1391,NULL,NULL,NULL,NULL,NULL
4,1,1954,988,111,661,58,1818,763,66,548,52,1429,NULL,NULL,NULL,NULL,NULL
3,1,1954,1068,121,770,61,2020,815,71,628,56,1570,NULL,NULL,NULL,NULL,NULL
2,1,1954,921,99,656,59,1735,704,57,526,53,1340,NULL,NULL,NULL,NULL,NULL
1,1,1954,1076,111,809,66,2062,830,66,659,60,1615,NULL,NULL,NULL,NULL,NULL
12,1,1953,1093,122,873,64,2152,865,75,711,57,1708,NULL,NULL,NULL,NULL,NULL
11,1,1953,1037,133,888,58,2116,816,82,744,52,1694,NULL,NULL,NULL,NULL,NULL
10,1,1953,1144,162,793,73,2172,892,102,648,65,1707,NULL,NULL,NULL,NULL,NULL
9,1,1953,1085,152,664,64,1965,832,93,532,57,1514,NULL,NULL,NULL,NULL,NULL
8,1,1953,1007,142,582,55,1786,774,87,470,49,1380,NULL,NULL,NULL,NULL,NULL
7,1,1953,1034,138,597,54,1823,793,85,489,47,1414,NULL,NULL,NULL,NULL,NULL
6,1,1953,999,128,644,50,1821,782,78,533,45,1438,NULL,NULL,NULL,NULL,NULL
5,1,1953,961,107,619,52,1739,748,65,502,47,1362,NULL,NULL,NULL,NULL,NULL
4,1,1953,989,102,714,58,1863,766,60,570,52,1448,NULL,NULL,NULL,NULL,NULL
3,1,1953,931,94,809,63,1897,725,55,650,58,1488,NULL,NULL,NULL,NULL,NULL
2,1,1953,849,80,759,57,1745,655,46,601,53,1355,NULL,NULL,NULL,NULL,NULL
1,1,1953,926,91,1029,67,2113,721,54,842,61,1678,NULL,NULL,NULL,NULL,NULL
12,1,1952,857,100,1179,62,2198,674,61,984,57,1776,NULL,NULL,NULL,NULL,NULL
11,1,1952,768,105,937,52,1862,596,66,766,48,1476,NULL,NULL,NULL,NULL,NULL
10,1,1952,933,128,894,68,2023,720,82,715,62,1579,NULL,NULL,NULL,NULL,NULL
9,1,1952,841,111,720,59,1731,644,69,571,53,1337,NULL,NULL,NULL,NULL,NULL
8,1,1952,793,100,637,49,1579,609,61,507,44,1221,NULL,NULL,NULL,NULL,NULL
7,1,1952,786,94,653,43,1576,602,57,526,39,1224,NULL,NULL,NULL,NULL,NULL
6,1,1952,698,83,727,46,1554,533,50,601,41,1225,NULL,NULL,NULL,NULL,NULL
5,1,1952,742,77,736,49,1604,565,45,594,45,1249,NULL,NULL,NULL,NULL,NULL
4,1,1952,703,71,839,50,1663,526,41,683,46,1296,NULL,NULL,NULL,NULL,NULL
3,1,1952,685,70,924,51,1730,518,39,760,48,1365,NULL,NULL,NULL,NULL,NULL
2,1,1952,721,66,945,52,1784,556,37,771,49,1413,NULL,NULL,NULL,NULL,NULL
1,1,1952,810,75,1130,54,2069,614,43,932,51,1640,NULL,NULL,NULL,NULL,NULL
12,1,1951,699,68,1077,41,1885,547,39,906,38,1530,NULL,NULL,NULL,NULL,NULL
11,1,1951,768,91,1023,47,1929,588,57,851,43,1539,NULL,NULL,NULL,NULL,NULL
10,1,1951,789,106,885,53,1833,581,68,719,47,1415,NULL,NULL,NULL,NULL,NULL
9,1,1951,697,87,715,41,1540,502,51,579,37,1169,NULL,NULL,NULL,NULL,NULL
8,1,1951,767,98,753,44,1662,558,59,615,39,1271,NULL,NULL,NULL,NULL,NULL
7,1,1951,676,86,686,42,1490,503,54,577,38,1172,NULL,NULL,NULL,NULL,NULL
6,1,1951,591,78,798,39,1506,435,49,673,36,1193,NULL,NULL,NULL,NULL,NULL
5,1,1951,716,71,798,34,1619,552,43,665,31,1291,NULL,NULL,NULL,NULL,NULL
4,1,1951,658,67,813,36,1574,499,39,672,33,1243,NULL,NULL,NULL,NULL,NULL
3,1,1951,696,73,837,39,1645,535,42,684,37,1298,NULL,NULL,NULL,NULL,NULL
2,1,1951,650,66,720,38,1474,490,37,570,36,1133,NULL,NULL,NULL,NULL,NULL
1,1,1951,842,81,1085,54,2062,642,45,896,50,1633,NULL,NULL,NULL,NULL,NULL
12,1,1950,773,82,1089,45,1989,603,48,924,42,1617,NULL,NULL,NULL,NULL,NULL
11,1,1950,794,98,978,47,1917,611,58,821,43,1533,NULL,NULL,NULL,NULL,NULL
10,1,1950,814,105,806,51,1776,623,64,666,47,1400,NULL,NULL,NULL,NULL,NULL
9,1,1950,832,107,667,51,1657,640,65,547,47,1299,NULL,NULL,NULL,NULL,NULL
8,1,1950,829,108,633,52,1622,632,65,519,47,1263,NULL,NULL,NULL,NULL,NULL
7,1,1950,754,97,617,46,1514,570,56,515,42,1183,NULL,NULL,NULL,NULL,NULL
6,1,1950,753,97,718,48,1616,572,57,605,44,1278,NULL,NULL,NULL,NULL,NULL
5,1,1950,774,93,716,47,1630,585,54,593,43,1275,NULL,NULL,NULL,NULL,NULL
4,1,1950,694,87,702,44,1527,526,50,574,40,1190,NULL,NULL,NULL,NULL,NULL
3,1,1950,775,96,807,49,1727,589,55,661,46,1351,NULL,NULL,NULL,NULL,NULL
2,1,1950,676,80,699,46,1501,510,44,559,42,1155,NULL,NULL,NULL,NULL,NULL
1,1,1950,780,87,965,55,1887,592,50,804,51,1497,NULL,NULL,NULL,NULL,NULL
12,1,1949,717,97,1041,53,1908,556,60,881,49,1546,NULL,NULL,NULL,NULL,NULL
11,1,1949,751,119,957,52,1879,566,75,801,48,1490,NULL,NULL,NULL,NULL,NULL
10,1,1949,772,120,764,56,1712,585,75,634,51,1345,NULL,NULL,NULL,NULL,NULL
9,1,1949,821,121,637,55,1634,625,74,518,50,1267,NULL,NULL,NULL,NULL,NULL
8,1,1949,835,123,605,54,1617,642,74,500,48,1264,NULL,NULL,NULL,NULL,NULL
7,1,1949,743,103,584,45,1475,576,62,495,41,1174,NULL,NULL,NULL,NULL,NULL
6,1,1949,765,103,657,42,1567,585,60,557,37,1239,NULL,NULL,NULL,NULL,NULL
5,1,1949,747,92,630,38,1507,571,53,518,34,1176,NULL,NULL,NULL,NULL,NULL
4,1,1949,721,91,647,34,1493,552,54,528,31,1165,NULL,NULL,NULL,NULL,NULL
3,1,1949,794,98,737,47,1676,607,57,594,43,1301,NULL,NULL,NULL,NULL,NULL
2,1,1949,697,82,701,51,1531,536,47,563,48,1194,NULL,NULL,NULL,NULL,NULL
1,1,1949,779,91,915,60,1845,596,54,762,56,1468,NULL,NULL,NULL,NULL,NULL
12,1,1948,783,106,1011,63,1963,6433,67,851,58,1580,NULL,NULL,NULL,NULL,NULL
11,1,1948,744,119,896,67,1826,604,77,752,62,1449,NULL,NULL,NULL,NULL,NULL
10,1,1948,752,126,690,73,1641,558,82,559,67,1266,NULL,NULL,NULL,NULL,NULL
9,1,1948,773,127,514,68,1482,570,81,397,62,1110,NULL,NULL,NULL,NULL,NULL
8,1,1948,705,121,463,59,1348,524,76,372,53,1025,NULL,NULL,NULL,NULL,NULL
7,1,1948,681,116,576,55,1428,505,72,478,50,1105,NULL,NULL,NULL,NULL,NULL
6,1,1948,733,118,774,58,1683,545,70,651,52,1318,NULL,NULL,NULL,NULL,NULL
5,1,1948,650,97,653,47,1447,450,53,515,42,1060,NULL,NULL,NULL,NULL,NULL
4,1,1948,700,101,629,53,1483,475,52,473,48,1048,NULL,NULL,NULL,NULL,NULL
3,1,1948,727,99,672,60,1558,512,50,506,55,1123,NULL,NULL,NULL,NULL,NULL
2,1,1948,662,87,679,60,1488,493,49,531,56,1129,NULL,NULL,NULL,NULL,NULL
1,1,1948,856,106,929,65,1956,637,61,746,60,1504,NULL,NULL,NULL,NULL,NULL
12,1,1947,843,118,1065,67,2093,636,73,868,62,1639,NULL,NULL,NULL,NULL,NULL
11,1,1947,813,145,932,66,1956,612,95,759,61,1527,NULL,NULL,NULL,NULL,NULL
10,1,1947,924,163,700,76,1863,686,107,540,70,1403,NULL,NULL,NULL,NULL,NULL
9,1,1947,888,154,549,66,1657,653,96,418,60,1227,NULL,NULL,NULL,NULL,NULL
8,1,1947,766,131,534,57,1488,571,80,438,52,1141,NULL,NULL,NULL,NULL,NULL
7,1,1947,839,136,661,59,1695,622,81,551,53,1307,NULL,NULL,NULL,NULL,NULL
6,1,1947,804,118,667,60,1649,599,71,556,55,1281,NULL,NULL,NULL,NULL,NULL
5,1,1947,846,110,678,65,1699,642,64,561,60,1327,NULL,NULL,NULL,NULL,NULL
4,1,1947,831,108,656,65,1660,618,62,521,61,1262,NULL,NULL,NULL,NULL,NULL
3,1,1947,829,104,606,62,1601,622,59,485,58,1224,NULL,NULL,NULL,NULL,NULL
2,1,1947,778,93,709,62,1642,581,51,555,57,1244,NULL,NULL,NULL,NULL,NULL
1,1,1947,935,113,1054,74,2176,693,65,827,68,1653,NULL,NULL,NULL,NULL,NULL
12,1,1946,856,114,962,64,1996,641,65,728,59,1493,NULL,NULL,NULL,NULL,NULL
11,1,1946,844,142,1010,71,2067,605,85,758,65,1513,NULL,NULL,NULL,NULL,NULL
10,1,1946,840,167,662,96,1765,503,87,462,84,1136,NULL,NULL,NULL,NULL,NULL
9,1,1946,366,98,124,63,651,168,43,71,54,336,NULL,NULL,NULL,NULL,NULL
8,1,1946,871,138,601,72,1682,594,70,426,65,1155,NULL,NULL,NULL,NULL,NULL
7,1,1946,954,140,903,77,2074,606,69,668,69,1412,NULL,NULL,NULL,NULL,NULL
6,1,1946,461,78,505,75,1119,246,31,360,65,702,NULL,NULL,NULL,NULL,NULL
5,1,1946,605,83,810,65,1563,373,37,606,57,1073,NULL,NULL,NULL,NULL,NULL
4,1,1946,734,91,846,83,1754,394,37,573,76,1080,NULL,NULL,NULL,NULL,NULL
3,1,1946,796,92,780,97,1765,488,38,534,90,1150,NULL,NULL,NULL,NULL,NULL
2,1,1946,827,85,966,109,1987,533,37,709,101,1380,NULL,NULL,NULL,NULL,NULL
1,1,1946,856,101,1051,74,2082,515,42,747,66,1370,NULL,NULL,NULL,NULL,NULL
12,1,1945,783,118,1103,90,2094,536,64,810,80,1490,NULL,NULL,NULL,NULL,NULL
11,1,1945,933,173,945,86,2137,649,102,680,77,1508,NULL,NULL,NULL,NULL,NULL
10,1,1945,1022,201,628,95,1946,747,123,391,86,1347,NULL,NULL,NULL,NULL,NULL
9,1,1945,910,164,535,80,1689,662,93,332,71,1158,NULL,NULL,NULL,NULL,NULL
8,1,1945,858,145,531,77,1611,627,80,388,67,1162,NULL,NULL,NULL,NULL,NULL
7,1,1945,736,117,610,82,1545,543,58,475,72,1148,NULL,NULL,NULL,NULL,NULL
6,1,1945,739,110,674,87,1610,564,53,545,77,1239,NULL,NULL,NULL,NULL,NULL
5,1,1945,747,103,682,87,1619,553,52,529,77,1211,NULL,NULL,NULL,NULL,NULL
4,1,1945,736,98,651,78,1563,518,44,472,67,1101,NULL,NULL,NULL,NULL,NULL
3,1,1945,836,107,723,87,1753,633,52,524,76,1285,NULL,NULL,NULL,NULL,NULL
2,1,1945,816,97,724,81,1718,590,43,480,71,1184,NULL,NULL,NULL,NULL,NULL
1,1,1945,820,119,1037,100,2076,619,60,761,90,1530,NULL,NULL,NULL,NULL,NULL
12,1,1944,764,146,1013,91,2014,577,81,785,81,1524,NULL,NULL,NULL,NULL,NULL
11,1,1944,786,197,944,91,2018,580,115,729,81,1505,NULL,NULL,NULL,NULL,NULL
10,1,1944,834,215,777,100,1926,632,130,587,90,1439,NULL,NULL,NULL,NULL,NULL
9,1,1944,774,182,678,91,1725,584,106,503,80,1273,NULL,NULL,NULL,NULL,NULL
8,1,1944,787,175,748,87,1797,602,103,582,75,1362,NULL,NULL,NULL,NULL,NULL
7,1,1944,662,142,796,82,1682,497,79,649,72,1297,NULL,NULL,NULL,NULL,NULL
6,1,1944,658,125,962,79,1824,490,67,811,69,1437,NULL,NULL,NULL,NULL,NULL
5,1,1944,681,106,1029,78,1894,512,55,872,68,1507,NULL,NULL,NULL,NULL,NULL
4,1,1944,650,89,978,66,1783,495,52,837,59,1443,NULL,NULL,NULL,NULL,NULL
3,1,1944,741,90,1128,75,2034,560,49,971,67,1647,NULL,NULL,NULL,NULL,NULL
2,1,1944,713,77,1169,72,2031,543,42,1018,64,1667,NULL,NULL,NULL,NULL,NULL
1,1,1944,751,85,1280,89,2205,582,49,1112,82,1825,NULL,NULL,NULL,NULL,NULL
12,1,1943,NULL,NULL,NULL,NULL,NULL,585,61,1034,94,1774,NULL,NULL,NULL,NULL,NULL
11,1,1943,NULL,NULL,NULL,NULL,NULL,595,81,954,94,1724,NULL,NULL,NULL,NULL,NULL
10,1,1943,NULL,NULL,NULL,NULL,NULL,596,88,687,104,1475,NULL,NULL,NULL,NULL,NULL
9,1,1943,NULL,NULL,NULL,NULL,NULL,556,73,647,98,1374,NULL,NULL,NULL,NULL,NULL
8,1,1943,NULL,NULL,NULL,NULL,NULL,497,56,703,89,1345,NULL,NULL,NULL,NULL,NULL
7,1,1943,NULL,NULL,NULL,NULL,NULL,448,38,852,78,1416,NULL,NULL,NULL,NULL,NULL
6,1,1943,NULL,NULL,NULL,NULL,NULL,388,33,854,66,1341,NULL,NULL,NULL,NULL,NULL
5,1,1943,NULL,NULL,NULL,NULL,NULL,429,31,771,70,1301,NULL,NULL,NULL,NULL,NULL
4,1,1943,NULL,NULL,NULL,NULL,NULL,435,32,671,64,1202,NULL,NULL,NULL,NULL,NULL
3,1,1943,NULL,NULL,NULL,NULL,NULL,496,38,704,65,1303,NULL,NULL,NULL,NULL,NULL
2,1,1943,NULL,NULL,NULL,NULL,NULL,458,32,638,63,1191,NULL,NULL,NULL,NULL,NULL
1,1,1943,NULL,NULL,NULL,NULL,NULL,487,36,793,71,1387,NULL,NULL,NULL,NULL,NULL
12,1,1942,NULL,NULL,NULL,NULL,NULL,494,53,952,88,1587,NULL,NULL,NULL,NULL,NULL
11,1,1942,NULL,NULL,NULL,NULL,NULL,486,63,722,83,1354,NULL,NULL,NULL,NULL,NULL
10,1,1942,NULL,NULL,NULL,NULL,NULL,610,76,591,91,1368,NULL,NULL,NULL,NULL,NULL
9,1,1942,NULL,NULL,NULL,NULL,NULL,571,70,558,87,1286,NULL,NULL,NULL,NULL,NULL
8,1,1942,NULL,NULL,NULL,NULL,NULL,555,59,496,73,1183,NULL,NULL,NULL,NULL,NULL
7,1,1942,NULL,NULL,NULL,NULL,NULL,552,55,583,67,1257,NULL,NULL,NULL,NULL,NULL
6,1,1942,NULL,NULL,NULL,NULL,NULL,555,54,655,59,1323,NULL,NULL,NULL,NULL,NULL
5,1,1942,NULL,NULL,NULL,NULL,NULL,481,49,597,61,1188,NULL,NULL,NULL,NULL,NULL
4,1,1942,NULL,NULL,NULL,NULL,NULL,516,50,568,68,1202,NULL,NULL,NULL,NULL,NULL
3,1,1942,NULL,NULL,NULL,NULL,NULL,497,49,544,73,1163,NULL,NULL,NULL,NULL,NULL
2,1,1942,NULL,NULL,NULL,NULL,NULL,473,41,520,62,1096,NULL,NULL,NULL,NULL,NULL
1,1,1942,NULL,NULL,NULL,NULL,NULL,557,48,776,69,1450,NULL,NULL,NULL,NULL,NULL
12,1,1941,NULL,NULL,NULL,NULL,NULL,527,49,782,66,1424,NULL,NULL,NULL,NULL,NULL
11,1,1941,NULL,NULL,NULL,NULL,NULL,481,55,607,57,1200,NULL,NULL,NULL,NULL,NULL
10,1,1941,NULL,NULL,NULL,NULL,NULL,578,65,550,67,1260,NULL,NULL,NULL,NULL,NULL
9,1,1941,NULL,NULL,NULL,NULL,NULL,525,56,408,63,1052,NULL,NULL,NULL,NULL,NULL
8,1,1941,NULL,NULL,NULL,NULL,NULL,509,49,415,60,1033,NULL,NULL,NULL,NULL,NULL
7,1,1941,NULL,NULL,NULL,NULL,NULL,515,50,447,62,1074,NULL,NULL,NULL,NULL,NULL
6,1,1941,NULL,NULL,NULL,NULL,NULL,466,46,465,54,1031,NULL,NULL,NULL,NULL,NULL
5,1,1941,NULL,NULL,NULL,NULL,NULL,487,52,532,65,1136,NULL,NULL,NULL,NULL,NULL
4,1,1941,NULL,NULL,NULL,NULL,NULL,423,50,508,62,1043,NULL,NULL,NULL,NULL,NULL
3,1,1941,NULL,NULL,NULL,NULL,NULL,405,44,527,62,1038,NULL,NULL,NULL,NULL,NULL
2,1,1941,NULL,NULL,NULL,NULL,NULL,371,40,506,61,978,NULL,NULL,NULL,NULL,NULL
1,1,1941,NULL,NULL,NULL,NULL,NULL,453,44,598,70,1165,NULL,NULL,NULL,NULL,NULL
12,1,1940,NULL,NULL,NULL,NULL,NULL,423,46,772,59,1300,NULL,NULL,NULL,NULL,NULL
11,1,1940,NULL,NULL,NULL,NULL,NULL,432,51,699,59,1241,NULL,NULL,NULL,NULL,NULL
10,1,1940,NULL,NULL,NULL,NULL,NULL,473,59,589,70,1191,NULL,NULL,NULL,NULL,NULL
9,1,1940,NULL,NULL,NULL,NULL,NULL,404,49,424,58,935,NULL,NULL,NULL,NULL,NULL
8,1,1940,NULL,NULL,NULL,NULL,NULL,421,49,417,57,944,NULL,NULL,NULL,NULL,NULL
7,1,1940,NULL,NULL,NULL,NULL,NULL,421,51,453,55,980,NULL,NULL,NULL,NULL,NULL
6,1,1940,NULL,NULL,NULL,NULL,NULL,385,45,528,52,1010,NULL,NULL,NULL,NULL,NULL
5,1,1940,NULL,NULL,NULL,NULL,NULL,418,49,509,57,1033,NULL,NULL,NULL,NULL,NULL
4,1,1940,NULL,NULL,NULL,NULL,NULL,409,45,467,57,978,NULL,NULL,NULL,NULL,NULL
3,1,1940,NULL,NULL,NULL,NULL,NULL,377,42,512,55,986,NULL,NULL,NULL,NULL,NULL
2,1,1940,NULL,NULL,NULL,NULL,NULL,377,38,549,56,1020,NULL,NULL,NULL,NULL,NULL
1,1,1940,NULL,NULL,NULL,NULL,NULL,431,44,695,67,1237,NULL,NULL,NULL,NULL,NULL
12,1,1939,NULL,NULL,NULL,NULL,NULL,405,40,671,58,1174,NULL,NULL,NULL,NULL,NULL
11,1,1939,NULL,NULL,NULL,NULL,NULL,422,50,577,59,1108,NULL,NULL,NULL,NULL,NULL
10,1,1939,NULL,NULL,NULL,NULL,NULL,444,55,464,62,1025,NULL,NULL,NULL,NULL,NULL
9,1,1939,NULL,NULL,NULL,NULL,NULL,445,50,389,63,947,NULL,NULL,NULL,NULL,NULL
8,1,1939,NULL,NULL,NULL,NULL,NULL,421,48,386,57,912,NULL,NULL,NULL,NULL,NULL
7,1,1939,NULL,NULL,NULL,NULL,NULL,399,47,406,53,905,NULL,NULL,NULL,NULL,NULL
6,1,1939,NULL,NULL,NULL,NULL,NULL,397,47,444,53,941,NULL,NULL,NULL,NULL,NULL
5,1,1939,NULL,NULL,NULL,NULL,NULL,415,51,461,55,982,NULL,NULL,NULL,NULL,NULL
4,1,1939,NULL,NULL,NULL,NULL,NULL,347,43,396,51,837,NULL,NULL,NULL,NULL,NULL
3,1,1939,NULL,NULL,NULL,NULL,NULL,394,45,432,63,934,NULL,NULL,NULL,NULL,NULL
2,1,1939,NULL,NULL,NULL,NULL,NULL,330,38,383,58,809,NULL,NULL,NULL,NULL,NULL
1,1,1939,NULL,NULL,NULL,NULL,NULL,384,42,543,61,1030,NULL,NULL,NULL,NULL,NULL
12,1,1938,NULL,NULL,NULL,NULL,NULL,373,43,585,55,1056,NULL,NULL,NULL,NULL,NULL
11,1,1938,NULL,NULL,NULL,NULL,NULL,417,51,511,57,1036,NULL,NULL,NULL,NULL,NULL
10,1,1938,NULL,NULL,NULL,NULL,NULL,423,54,412,64,953,NULL,NULL,NULL,NULL,NULL
9,1,1938,NULL,NULL,NULL,NULL,NULL,443,53,343,66,905,NULL,NULL,NULL,NULL,NULL
8,1,1938,NULL,NULL,NULL,NULL,NULL,410,53,348,62,873,NULL,NULL,NULL,NULL,NULL
7,1,1938,NULL,NULL,NULL,NULL,NULL,397,47,340,55,839,NULL,NULL,NULL,NULL,NULL
6,1,1938,NULL,NULL,NULL,NULL,NULL,401,49,369,56,875,NULL,NULL,NULL,NULL,NULL
5,1,1938,NULL,NULL,NULL,NULL,NULL,388,50,350,62,850,NULL,NULL,NULL,NULL,NULL
