Entity,Code,Year,Cereals: Additional cropland area needed if yields stagnated in 1961,Cereals: Area harvested
World,OWID_WRL,1961,0,647997186
World,OWID_WRL,1962,35912902.45,653839500
World,OWID_WRL,1963,42321761.94,659234467
World,OWID_WRL,1964,69654371.85,670231863
World,OWID_WRL,1965,70754142.44,667195174
World,OWID_WRL,1966,127202623.7,669678977
World,OWID_WRL,1967,150792856.1,679890949
World,OWID_WRL,1968,173524505.3,684204602
World,OWID_WRL,1969,180076166.9,685279125
World,OWID_WRL,1970,205786611.5,675463526
World,OWID_WRL,1971,273570122.4,686870089
World,OWID_WRL,1972,252731600.3,677270412
World,OWID_WRL,1973,303484481,699334879
World,OWID_WRL,1974,279406632.8,700898903
World,OWID_WRL,1975,293925918.4,710954389
World,OWID_WRL,1976,359181230.4,722485252
World,OWID_WRL,1977,357137100.2,719085337
World,OWID_WRL,1978,454102801.9,714992391
World,OWID_WRL,1979,429647999.6,706548873
World,OWID_WRL,1980,428174263.4,717193878
World,OWID_WRL,1981,479766176.7,726546296
World,OWID_WRL,1982,536414085.9,714354380
World,OWID_WRL,1983,497563789.6,704731704
World,OWID_WRL,1984,605446422.4,714975901
World,OWID_WRL,1985,625685616.6,720191474
World,OWID_WRL,1986,637971306.3,717351224
World,OWID_WRL,1987,611613677.1,697526906
World,OWID_WRL,1988,574396220,702301651
World,OWID_WRL,1989,671145814.4,711765521
World,OWID_WRL,1990,734617866.3,707684899
World,OWID_WRL,1991,692701043.4,704277551
World,OWID_WRL,1992,749540854.8,708854763
World,OWID_WRL,1993,712372585.3,694804727
World,OWID_WRL,1994,748658643.2,695244043
World,OWID_WRL,1995,718165572.9,685470891
World,OWID_WRL,1996,823278535.5,699965696
World,OWID_WRL,1997,847597227.8,700891796
World,OWID_WRL,1998,860514642.8,680628455
World,OWID_WRL,1999,868713993,670058040
World,OWID_WRL,2000,848993565.5,672246297
World,OWID_WRL,2001,882994165.3,672464472
World,OWID_WRL,2002,855987690.5,661720935
World,OWID_WRL,2003,861976667.7,670565618
World,OWID_WRL,2004,1012258698,676759173
World,OWID_WRL,2005,981176882.8,693841569
World,OWID_WRL,2006,984577488,682236906
World,OWID_WRL,2007,1037846696,695714578
World,OWID_WRL,2008,1149321119,712441881
World,OWID_WRL,2009,1138377079,699825900
World,OWID_WRL,2010,1125256626,692989139
World,OWID_WRL,2011,1202427414,705342245
World,OWID_WRL,2012,1181673636,707220494
World,OWID_WRL,2013,1316100868,722880852
World,OWID_WRL,2014,1353675647,722470148
World,OWID_WRL,2015,1370961597,723003426
World,OWID_WRL,2016,1427280468,728635666
World,OWID_WRL,2017,1462580096,729246029
World,OWID_WRL,2018,1425575008,726547288
World,OWID_WRL,2019,1477172768,724262355
