"Date","beef_commercial","veal_commercial","pork_commercial","lamb_commercial","total_red_commercial","beef_federal","veal_federal","pork_federal","lamb_federal","total_red_federal","broilers_federal","chicken_federal","turkey_federal","total_poultry_federal","total_meat_federal"
"Jan-2021","2310.4","4.6","2477.6","10.5","4803.1","2271.8","4.5","2466.2","9.4","4751.9","3613.0","40.8","447.1","4110.9","8862.8"
"Dec-2020","2327.4","5.6","2510.4","12.0","4855.5","2291.8","5.5","2499.3","10.7","4807.3","3720.2","42.5","470.3","4243.4","9050.7"
"Nov-2020","2267.3","4.9","2406.2","10.7","4689.1","2232.3","4.7","2395.1","9.3","4641.5","3478.1","40.0","458.1","3985.0","8626.5"
"Oct-2020","2474.2","5.3","2598.6","10.6","5088.8","2431.9","5.2","2585.8","9.2","5032.1","3848.9","49.0","522.8","4429.9","9462.0"
"Sep-2020","2356.5","4.9","2336.0","10.9","4708.2","2315.3","4.7","2322.5","9.4","4652.0","3878.4","48.5","473.8","4409.4","9061.4"
"Aug-2020","2335.6","5.0","2341.0","10.9","4692.5","2298.0","4.8","2326.8","9.5","4639.0","3733.9","48.1","474.9","4265.9","8904.9"
"Jul-2020","2423.2","5.8","2371.4","12.2","4812.6","2384.5","5.6","2358.3","10.6","4759.0","3745.8","49.7","505.1","4308.1","9067.1"
"Jun-2020","2375.7","5.6","2400.9","12.5","4794.6","2334.7","5.4","2386.1","11.3","4737.4","3780.0","46.5","500.7","4334.7","9072.1"
"May-2020","1865.6","5.2","1880.9","12.6","3764.3","1827.6","5.0","1865.4","11.3","3709.3","3560.1","43.7","427.5","4039.7","7749.0"
"Apr-2020","1817.3","4.8","2031.6","11.1","3864.9","1782.0","4.6","2019.4","9.9","3815.9","3600.3","46.1","441.3","4098.9","7914.8"
"Mar-2020","2411.2","5.8","2566.5","12.3","4995.7","2379.2","5.6","2555.2","11.3","4951.3","3862.1","47.1","507.0","4428.8","9380.1"
"Feb-2020","2131.3","5.1","2306.4","10.7","4453.5","2104.2","5.0","2296.8","9.7","4415.7","3418.5","41.6","446.7","3917.5","8333.2"
"Jan-2020","2388.4","6.4","2553.3","11.9","4960.0","2356.8","6.2","2543.1","10.9","4917.0","3957.1","46.6","514.9","4531.8","9448.8"
"Dec-2019","2265.1","6.5","2443.1","12.1","4726.8","2239.2","6.4","2432.8","11.0","4689.4","3647.3","41.8","446.7","4148.9","8838.3"
"Nov-2019","2296.9","6.1","2428.6","11.3","4742.9","2271.9","5.9","2419.0","10.2","4707.0","3427.1","42.5","469.2","3950.1","8657.1"
"Oct-2019","2439.3","7.1","2606.4","12.8","5065.6","2403.9","6.9","2593.4","11.5","5015.6","4100.1","46.5","551.3","4711.4","9727.0"
"Sep-2019","2188.6","6.1","2237.1","10.9","4442.7","2160.6","5.9","2225.4","9.7","4401.6","3680.5","47.4","460.8","4200.5","8602.1"
"Aug-2019","2373.4","6.0","2257.9","12.7","4650.0","2346.5","5.8","2245.2","11.1","4608.6","3845.9","49.2","501.0","4407.7","9016.3"
"Jul-2019","2360.7","6.3","2210.8","12.0","4589.8","2335.2","6.2","2199.1","10.7","4551.1","3875.3","40.8","491.6","4419.2","8970.3"
"Jun-2019","2227.1","5.7","2127.8","11.4","4372.0","2199.7","5.6","2118.3","10.3","4333.8","3526.6","45.0","474.7","4057.5","8391.3"
"May-2019","2328.0","6.3","2218.9","13.5","4566.6","2300.9","6.2","2208.9","12.1","4528.0","3827.9","46.1","492.4","4377.9","8905.9"
"Apr-2019","2261.7","6.0","2268.7","15.2","4551.6","2234.0","5.9","2258.2","13.7","4511.7","3590.1","42.6","483.6","4128.4","8640.1"
"Mar-2019","2117.1","5.8","2297.0","13.0","4432.9","2090.0","5.6","2286.4","12.1","4394.2","3409.8","41.7","477.5","3940.6","8334.8"
"Feb-2019","1987.1","6.1","2167.5","11.1","4171.9","1960.8","6.0","2157.3","10.1","4134.2","3263.1","39.2","458.2","3772.4","7906.6"
"Jan-2019","2309.6","6.5","2373.7","12.5","4702.4","2278.7","6.4","2362.7","11.4","4659.2","3711.3","45.7","510.5","4280.5","8939.7"
"Dec-2018","2116.0","6.5","2231.5","13.2","4367.2","2091.4","6.3","2221.1","11.9","4330.7","3228.7","36.8","448.1","3726.2","8056.9"
"Nov-2018","2315.1","6.7","2348.0","12.9","4682.7","2288.6","6.6","2337.4","11.8","4644.4","3450.7","44.5","497.4","4004.5","8648.9"
